Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34963526,"Saga, Vol. 8",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""""","=""""",4,4.46,Image Comics,Paperback,146,2017,2017,2018/01/09,2017/10/02,,,read,,,,1,,,1,,,unspecified,,
887877,"Red Seas Under Red Skies (Gentleman Bastard, #2)",Scott Lynch,"Lynch, Scott",,"=""0553804685""","=""9780553804683""",4,4.22,Bantam Spectra,Hardcover,558,2007,2007,2017/12/31,2017/10/09,,,read,,,,1,,,1,,,unspecified,,
22088245,"NPCs (Spells, Swords, & Stealth, #1)",Drew  Hayes,"Hayes, Drew",,"=""""","=""""",0,4.04,Thunder Pear Publishing,Kindle Edition,289,2014,2014,,2018/01/21,to-read,to-read (#395),to-read,,,,0,,,0,,,,,
68495,"Iron Council (New Crobuzon, #3)",China Miéville,"Miéville, China",,"=""0345458427""","=""9780345458421""",5,3.71,Del Rey,Paperback,576,2005,2004,2018/01/19,2016/12/07,,,read,,,,1,,,1,,,unspecified,,
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1627792120""","=""9781627792127""",0,4.42,Henry Holt & Company,Hardcover,465,2015,2015,,2018/01/13,to-read,to-read (#394),to-read,,,,0,,,0,,,,,
7137327,"Enclave (Razorland, #1)",Ann Aguirre,"Aguirre, Ann",,"=""0312650086""","=""9780312650087""",0,3.91,Feiwel & Friends,Hardcover,259,2011,2011,,2018/01/12,to-read,to-read (#393),to-read,,,,0,,,0,,,,,
17383917,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,"=""0062023179""","=""9780062023179""",0,4.22,HarperOne,Hardcover,223,2013,1942,,2018/01/04,to-read,to-read (#392),to-read,,,,0,,,0,,,,,
5309123,"Cruel and Unusual (Kay Scarpetta, #4)",Patricia Cornwell,"Cornwell, Patricia",,"=""1416505407""","=""9781416505402""",0,4.12,Pocket Books,Paperback,409,2005,1993,,2017/12/22,to-read,to-read (#391),to-read,,,,0,,,0,,,,,
6479723,"The Crucifix Killer (Robert Hunter, #1)",Chris Carter,"Carter, Chris",,"=""1847376223""","=""9781847376220""",0,4.27,Simon & Schuster UK,Hardcover,423,2009,2009,,2017/12/21,to-read,to-read (#390),to-read,,,,0,,,0,,,,,
12499290,"The Blinding Knife (Lightbringer, #2)",Brent Weeks,"Weeks, Brent",,"=""031607991X""","=""9780316079914""",4,4.39,Orbit,Hardcover,671,2012,2012,2017/12/21,2017/05/17,,,read,,,,1,,,1,,,unspecified,,
